╠Ю╨е,и╚тС,╦Ы╣ы,гциЫ,нфюМ,фЙ╡©,╢╔╦п,цэ╤х,╨╛лга©,╨ц╧о
1,гЮбл,РИкУ,вгоЛ,гЕнЗ,╟╪ощ,с╡╩╛,0.697,0.46,╨ц
2,нз╨з,РИкУ,Ёацф,гЕнЗ,╟╪ощ,с╡╩╛,0.774,0.376,╨ц
3,нз╨з,РИкУ,вгоЛ,гЕнЗ,╟╪ощ,с╡╩╛,0.634,0.264,╨ц
4,гЮбл,РИкУ,Ёацф,гЕнЗ,╟╪ощ,с╡╩╛,0.608,0.318,╨ц
5,гЁ╟в,РИкУ,вгоЛ,гЕнЗ,╟╪ощ,с╡╩╛,0.556,0.215,╨ц
6,гЮбл,итРИ,вгоЛ,гЕнЗ,ит╟╪,хМП╓,0.403,0.237,╨ц
7,нз╨з,итРИ,вгоЛ,ит╨Щ,ит╟╪,хМП╓,0.481,0.149,╨ц
8,нз╨з,итРИ,вгоЛ,гЕнЗ,ит╟╪,с╡╩╛,0.437,0.211,╨ц
9,нз╨з,итРИ,Ёацф,ит╨Щ,ит╟╪,с╡╩╛,0.666,0.091,╩╣
10,гЮбл,с╡м╕,гЕ╢Ю,гЕнЗ,ф╫л╧,хМП╓,0.243,0.0267,╩╣
11,гЁ╟в,с╡м╕,гЕ╢Ю,дё╨Щ,ф╫л╧,с╡╩╛,0.245,0.057,╩╣
12,гЁ╟в,РИкУ,вгоЛ,дё╨Щ,ф╫л╧,хМП╓,0.343,0.099,╩╣
13,гЮбл,итРИ,вгоЛ,ит╨Щ,╟╪ощ,с╡╩╛,0.639,0.161,╩╣
14,гЁ╟в,итРИ,Ёацф,ит╨Щ,╟╪ощ,с╡╩╛,0.657,0.198,╩╣
15,нз╨з,итРИ,вгоЛ,гЕнЗ,ит╟╪,хМП╓,0.36,0.37,╩╣
16,гЁ╟в,РИкУ,вгоЛ,дё╨Щ,ф╫л╧,с╡╩╛,0.593,0.042,╩╣
17,гЮбл,РИкУ,Ёацф,ит╨Щ,ит╟╪,с╡╩╛,0.719,0.103,╩╣
